Date : 2020-12-06 22:14:18
Directory : d:\muyuan\my-iot-platform-frontend
Total : 3121 files,  3087267 codes, 169382 comments, 88406 blanks, all 3345055 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JSON       |        216 |  1,953,853 |          1 |         35 |  1,953,889 |
| XML        |      1,338 |    478,858 |        976 |      1,103 |    480,937 |
| JavaScript |        814 |    384,292 |    150,440 |     81,172 |    615,904 |
| Vue.js     |        660 |    245,965 |     17,032 |      3,505 |    266,502 |
| CSS        |         33 |     15,880 |        301 |      1,679 |     17,860 |
| SCSS       |         22 |      4,354 |        583 |        341 |      5,278 |
| HTML       |         18 |      2,644 |         35 |        204 |      2,883 |
| Markdown   |         18 |        644 |          0 |        208 |        852 |
| Less       |          1 |        628 |         14 |        118 |        760 |
| Pug        |          1 |        149 |          0 |         41 |        190 |
+------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                                             | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                                                |      3,121 |  3,087,267 |    169,382 |     88,406 |  3,345,055 |
| docs                                                                                                                                                                                             |          1 |         48 |          0 |          7 |         55 |
| public                                                                                                                                                                                           |      1,407 |    830,254 |    148,633 |     82,633 |  1,061,520 |
| public\usr-draw                                                                                                                                                                                  |      1,400 |    830,188 |    148,600 |     82,631 |  1,061,419 |
| public\usr-draw\static                                                                                                                                                                           |      1,395 |    828,801 |    148,583 |     82,571 |  1,059,955 |
| public\usr-draw\static\images                                                                                                                                                                    |         27 |        492 |         13 |          8 |        513 |
| public\usr-draw\static\img                                                                                                                                                                       |        729 |     46,385 |        499 |        880 |     47,764 |
| public\usr-draw\static\img\lib                                                                                                                                                                   |        538 |     36,445 |        353 |        455 |     37,253 |
| public\usr-draw\static\img\lib\allied_telesis                                                                                                                                                    |         59 |     10,189 |          0 |         58 |     10,247 |
| public\usr-draw\static\img\lib\allied_telesis\buildings                                                                                                                                          |          7 |      1,888 |          0 |          7 |      1,895 |
| public\usr-draw\static\img\lib\allied_telesis\computer_and_terminals                                                                                                                             |         15 |      3,343 |          0 |         14 |      3,357 |
| public\usr-draw\static\img\lib\allied_telesis\media_converters                                                                                                                                   |          5 |        394 |          0 |          5 |        399 |
| public\usr-draw\static\img\lib\allied_telesis\security                                                                                                                                           |          7 |      1,139 |          0 |          7 |      1,146 |
| public\usr-draw\static\img\lib\allied_telesis\storage                                                                                                                                            |          6 |        832 |          0 |          6 |        838 |
| public\usr-draw\static\img\lib\allied_telesis\switch                                                                                                                                             |         16 |      2,005 |          0 |         16 |      2,021 |
| public\usr-draw\static\img\lib\allied_telesis\wireless                                                                                                                                           |          3 |        588 |          0 |          3 |        591 |
| public\usr-draw\static\img\lib\atlassian                                                                                                                                                         |         17 |        303 |          0 |          0 |        303 |
| public\usr-draw\static\img\lib\ibm                                                                                                                                                               |        132 |      3,854 |        129 |        130 |      4,113 |
| public\usr-draw\static\img\lib\ibm\analytics                                                                                                                                                     |          5 |        133 |          5 |          5 |        143 |
| public\usr-draw\static\img\lib\ibm\applications                                                                                                                                                  |         20 |        466 |         20 |         20 |        506 |
